Sr. No.,Symbol,Company Name
583,EMUDHRA,eMudhra Limited
584,PDSL,PDS Limited
585,GANESHHOUC,Ganesh Housing Corporation Limited
586,CSBBANK,CSB Bank Limited
587,SHAREINDIA,Share India Securities Limited
588,IFBIND,IFB Industries Limited
589,PRINCEPIPE,Prince Pipes And Fittings Limited
590,VAIBHAVGBL,Vaibhav Global Limited
591,ARVINDFASN,Arvind Fashions Limited
592,EDELWEISS,Edelweiss Financial Services Limited
593,SENCO,Senco Gold Limited
594,SPANDANA,Spandana Sphoorty Financial Limited
595,INDIGOPNTS,Indigo Paints Limited
596,GENUSPOWER,Genus Power Infrastructures Limited
597,SYMPHONY,Symphony Limited
598,HGINFRA,H.G. Infra Engineering Limited
599,TIPSINDLTD,TIPS Industries Limited
600,SIS,SIS LIMITED
601,MSTCLTD,Mstc Limited
602,NESCO,Nesco Limited
603,SANGHVIMOV,Sanghvi Movers Limited
604,SANDUMA,Sandur Manganese & Iron Ores Limited
605,UJJIVAN,Ujjivan Financial Services Limited
606,ITDCEM,ITD Cementation India Limited
607,CYIENTDLM,Cyient DLM Limited
608,EPL,EPL Limited
609,SUPRAJIT,Suprajit Engineering Limited
610,SUNTECK,Sunteck Realty Limited
611,HEMIPROP,Hemisphere Properties India Limited
612,MOIL,MOIL Limited
613,TIMETECHNO,Time Technoplast Limited
614,ASTRAMICRO,Astra Microwave Products Limited
615,TRIL,Transformers And Rectifiers (India) Limited
616,WONDERLA,Wonderla Holidays Limited
617,ASKAUTOLTD,ASK Automotive Limited
618,LLOYDSENGG,LLOYDS ENGINEERING WORKS LIMITED
619,GMMPFAUDLR,GMM Pfaudler Limited
620,SURYAROSNI,Surya Roshni Limited
621,VSTIND,VST Industries Limited
622,PTC,PTC India Limited
623,JKPAPER,JK Paper Limited
624,SANSERA,Sansera Engineering Limited
625,CHOICEIN,Choice International Limited
626,AURIONPRO,Aurionpro Solutions Limited
627,PAISALO,Paisalo Digital Limited
628,ITDC,India Tourism Development Corporation Limited
629,HNDFDS,Hindustan Foods Limited
630,PARADEEP,Paradeep Phosphates Limited
631,KESORAMIND,Kesoram Industries Limited
632,HCC,Hindustan Construction Company Limited
633,ORCHPHARMA,Orchid Pharma Limited
634,JAMNAAUTO,Jamna Auto Industries Limited
635,ICRA,ICRA Limited
636,RSYSTEMS,R Systems International Limited
637,PRUDENT,Prudent Corporate Advisory Services Limited
638,MTARTECH,Mtar Technologies Limited
639,UTKARSHBNK,Utkarsh Small Finance Bank Limited
640,RAIN,Rain Industries Limited
641,DYNAMATECH,Dynamatic Technologies Limited
642,JAICORPLTD,Jai Corp Limited
643,RBA,Restaurant Brands Asia Limited
644,GATEWAY,Gateway Distriparks Limited
645,PURVA,Puravankara Limited
646,GUJALKALI,Gujarat Alkalies and Chemicals Limited
647,NAZARA,Nazara Technologies Limited
648,RALLIS,Rallis India Limited
649,VRLLOG,VRL Logistics Limited
650,GABRIEL,Gabriel India Limited
651,DODLA,Dodla Dairy Limited
652,JKIL,J.Kumar Infraprojects Limited
653,ROLEXRINGS,Rolex Rings Limited
654,WABAG,VA Tech Wabag Limited
655,PRICOLLTD,Pricol Limited
656,HCG,Healthcare Global Enterprises Limited
657,AGI,AGI Greenpac Limited
658,DBCORP,D.B.Corp Limited
659,FUSION,Fusion Micro Finance Limited
660,DHANUKA,Dhanuka Agritech Limited
661,MASFIN,MAS Financial Services Limited
662,SULA,Sula Vineyards Limited
663,TDPOWERSYS,TD Power Systems Limited
664,GALLANTT,Gallantt Ispat Limited
665,JAYNECOIND,Jayaswal Neco Industries Limited
666,GULFOILLUB,Gulf Oil Lubricants India Limited
667,SAMHI,Samhi Hotels Limited
668,TEAMLEASE,Teamlease Services Limited
669,KIRLPNU,Kirloskar Pneumatic Company Limited
670,EPIGRAL,Epigral Limited
671,TIIL,Technocraft Industries (India) Limited
672,GOPAL,Gopal Snacks Limited
673,JTEKTINDIA,Jtekt India Limited
674,HEIDELBERG,HeidelbergCement India Limited
675,SUNDARMHLD,Sundaram Finance Holdings Limited
676,RTNPOWER,RattanIndia Power Limited
677,STLTECH,Sterlite Technologies Limited
678,JPASSOCIAT,Jaiprakash Associates Limited
679,PATELENG,Patel Engineering Limited
680,ASHOKA,Ashoka Buildcon Limited
681,SINDHUTRAD,Sindhu Trade Links Limited
682,PGEL,PG Electroplast Limited
683,NFL,National Fertilizers Limited
684,ENTERO,Entero Healthcare Solutions Limited
685,JSFB,Jana Small Finance Bank Limited
686,GOKEX,Gokaldas Exports Limited
687,BANCOINDIA,Banco Products (I) Limited
688,VMART,V-Mart Retail Limited
689,SHANTIGEAR,Shanthi Gears Limited
690,GHCL,GHCL Limited
691,SUDARSCHEM,Sudarshan Chemical Industries Limited
692,WELENT,Welspun Enterprises Limited
693,FEDFINA,Fedbank Financial Services Limited
694,NOCIL,NOCIL Limited
695,TARC,TARC Limited
696,KKCL,Kewal Kiran Clothing Limited
697,ORIENTELEC,Orient Electric Limited
698,BOROLTD,Borosil Limited
699,KIRLOSIND,Kirloskar Industries Limited
700,BALMLAWRIE,Balmer Lawrie & Company Limited
701,FCL,Fineotex Chemical Limited
702,GRWRHITECH,Garware Hi-Tech Films Limited
703,SHARDAMOTR,Sharda Motor Industries Limited
704,PARKHOTELS,Apeejay Surrendra Park Hotels Limited
705,MAXESTATES,Max Estates Limited
706,TI,Tilaknagar Industries Limited
707,AMIORG,Ami Organics Limited
708,ORIENTCEM,Orient Cement Limited
709,SHILPAMED,Shilpa Medicare Limited
710,AARTIDRUGS,Aarti Drugs Limited
711,LGBBROSLTD,LG Balakrishnan & Bros Limited
712,AARTIPHARM,Aarti Pharmalabs Limited
713,TCIEXP,TCI Express Limited
714,WSTCSTPAPR,West Coast Paper Mills Limited
715,ADVENZYMES,Advanced Enzyme Technologies Limited
716,PRIVISCL,Privi Speciality Chemicals Limited
717,GREENPANEL,Greenpanel Industries Limited
718,VENUSPIPES,Venus Pipes & Tubes Limited
719,BBOX,Black Box Limited
720,IIFLSEC,IIFL Securities Limited
721,PILANIINVS,Pilani Investment and Industries Corporation Limited
722,ROSSARI,Rossari Biotech Limited
723,KSL,Kalyani Steels Limited
724,DCBBANK,DCB Bank Limited
725,IMAGICAA,Imagicaaworld Entertainment Limited
726,BAJAJHIND,Bajaj Hindusthan Sugar Limited
727,DCAL,Dishman Carbogen Amcis Limited
728,HARSHA,Harsha Engineers International Limited
729,BBL,Bharat Bijlee Limited
730,YATHARTH,Yatharth Hospital & Trauma Care Services Limited
731,ORISSAMINE,The Orissa Minerals Development Company Limited
732,THANGAMAYL,Thangamayil Jewellery Limited
733,ZAGGLE,Zaggle Prepaid Ocean Services Limited
734,BHARATRAS,Bharat Rasayan Limited
735,KOLTEPATIL,Kolte - Patil Developers Limited
736,KSCL,Kaveri Seed Company Limited
737,MEDIASSIST,Medi Assist Healthcare Services Limited
738,INOXGREEN,Inox Green Energy Services Limited
739,HATHWAY,Hathway Cable & Datacom Limited
740,SSWL,Steel Strips Wheels Limited
741,UNICHEMLAB,Unichem Laboratories Limited
742,CIGNITITEC,Cigniti Technologies Limited
743,IMFA,Indian Metals & Ferro Alloys Limited
744,ASHAPURMIN,Ashapura Minechem Limited
745,HGS,Hinduja Global Solutions Limited
746,MUTHOOTMF,Muthoot Microfin Limited
747,SUBROS,Subros Limited
748,RAMKY,Ramky Infrastructure Limited
749,SUNFLAG,Sunflag Iron And Steel Company Limited
750,CARERATING,CARE Ratings Limited
751,GENSOL,Gensol Engineering Limited
752,SKIPPER,Skipper Limited
753,LAOPALA,La Opala RG Limited
754,LUMAXTECH,Lumax Auto Technologies Limited
755,DCXINDIA,DCX Systems Limited
756,BOMDYEING,Bombay Dyeing & Mfg Company Limited
757,HIKAL,Hikal Limited
758,JISLJALEQS,Jain Irrigation Systems Limited
759,CUPID,Cupid Limited
760,AVALON,Avalon Technologies Limited
761,LUXIND,Lux Industries Limited
762,NUCLEUS,Nucleus Software Exports Limited
763,TASTYBITE,Tasty Bite Eatables Limited
764,SOTL,Savita Oil Technologies Limited
765,ARVSMART,Arvind SmartSpaces Limited
766,SANDHAR,Sandhar Technologies Limited
767,SALASAR,Salasar Techno Engineering Limited
768,NEOGEN,Neogen Chemicals Limited
769,DATAMATICS,Datamatics Global Services Limited
770,JTLIND,JTL INDUSTRIES LIMITED
771,ANUP,The Anup Engineering Limited
772,HERITGFOOD,Heritage Foods Limited
773,THYROCARE,Thyrocare Technologies Limited
774,VADILALIND,Vadilal Industries Limited
775,NAVNETEDUL,Navneet Education Limited
776,DISHTV,Dish TV India Limited
777,KDDL,KDDL Limited
778,KALAMANDIR,Sai Silks (Kalamandir) Limited
779,LANDMARK,Landmark Cars Limited
780,INDOCO,Indoco Remedies Limited
781,BAJAJCON,Bajaj Consumer Care Limited
782,TVSSRICHAK,TVS Srichakra Limited
783,CARTRADE,Cartrade Tech Limited
784,SBCL,Shivalik Bimetal Controls Limited
785,FIEMIND,Fiem Industries Limited
786,PRAKASH,Prakash Industries Limited
787,DELTACORP,Delta Corp Limited
788,RAJRATAN,Rajratan Global Wire Limited
789,IDEAFORGE,Ideaforge Technology Limited
790,MAHLOG,Mahindra Logistics Limited
791,PFOCUS,Prime Focus Limited
792,GREAVESCOT,Greaves Cotton Limited
793,DOLLAR,Dollar Industries Limited
794,UFLEX,UFLEX Limited
795,UNITECH,Unitech Limited
796,BFUTILITIE,BF Utilities Limited
797,SHARDACROP,Sharda Cropchem Limited
798,BANARISUG,Bannari Amman Sugars Limited
799,SEQUENT,Sequent Scientific Limited
800,GREENPLY,Greenply Industries Limited
801,MAITHANALL,Maithan Alloys Limited
802,SHK,S H Kelkar and Company Limited
803,SUNCLAY,Sundaram Clayton Limited
804,GUFICBIO,Gufic Biosciences Limited
805,BLSE,BLS E-Services Limited
806,DIACABS,Diamond Power Infrastructure Limited
807,ESAFSFB,ESAF Small Finance Bank Limited
808,VSTTILLERS,V.S.T Tillers Tractors Limited
809,HLEGLAS,HLE Glascoat Limited
810,BCG,Brightcom Group Limited
811,GOODLUCK,Goodluck India Limited
812,SWARAJENG,Swaraj Engines Limited
813,SEAMECLTD,Seamec Limited
814,SMLISUZU,SML Isuzu Limited
815,ASHIANA,Ashiana Housing Limited
816,DALMIASUG,Dalmia Bharat Sugar and Industries Limited
817,HINDWAREAP,Hindware Home Innovation Limited
818,SAGCEM,Sagar Cements Limited
819,SAKSOFT,Saksoft Limited
820,APOLLO,Apollo Micro Systems Limited
821,SUPRIYA,Supriya Lifescience Limited
822,AUTOAXLES,Automotive Axles Limited
823,STYLAMIND,Stylam Industries Limited
824,FLAIR,Flair Writing Industries Limited
825,VINDHYATEL,Vindhya Telelinks Limited
826,CARYSIL,CARYSIL LIMITED
827,THEJO,Thejo Engineering Limited
828,MPSLTD,MPS Limited
829,MARATHON,Marathon Nextgen Realty Limited
830,ISMTLTD,ISMT Limited
831,FILATEX,Filatex India Limited
832,NRBBEARING,NRB Bearing Limited
833,JCHAC,Johnson Controls - Hitachi Air Conditioning India Limited
834,MOLDTKPAC,Mold-Tek Packaging Limited
835,DREAMFOLKS,Dreamfolks Services Limited
836,GMRP&UI,GMR Power and Urban Infra Limited
837,SHALBY,Shalby Limited
838,INNOVACAP,Innova Captab Limited
839,PFS,PTC India Financial Services Limited
840,AJMERA,Ajmera Realty & Infra India Limited
841,HMAAGRO,HMA Agro Industries Limited
842,NILKAMAL,Nilkamal Limited
843,RPGLIFE,RPG Life Sciences Limited
844,TATVA,Tatva Chintan Pharma Chem Limited
845,STYRENIX,Styrenix Performance Materials Limited
846,QUICKHEAL,Quick Heal Technologies Limited
847,ACCELYA,Accelya Solutions India Limited
848,REPCOHOME,Repco Home Finance Limited
849,PCJEWELLER,PC Jeweller Limited
850,APOLLOPIPE,Apollo Pipes Limited
851,GANECOS,Ganesha Ecosphere Limited
852,PARAGMILK,Parag Milk Foods Limited
853,BAJEL,Bajel Projects Limited
854,PSPPROJECT,PSP Projects Limited
855,GIPCL,Gujarat Industries Power Company Limited
856,XPROINDIA,Xpro India Limited
857,PITTIENG,Pitti Engineering Limited
858,SHAKTIPUMP,Shakti Pumps (India) Limited
859,TIDEWATER,Tide Water Oil Company (India) Limited
860,SHAILY,Shaily Engineering Plastics Limited
861,EVEREADY,Eveready Industries India Limited
862,CONFIPET,Confidence Petroleum India Limited
863,POLYPLEX,Polyplex Corporation Limited
864,TAJGVK,Taj GVK Hotels & Resorts Limited
865,TIRUMALCHM,Thirumalai Chemicals Limited
866,SPECTRUM,Spectrum Electrical Industries Limited
867,PARAS,Paras Defence and Space Technologies Limited
868,EXICOM,Exicom Tele-Systems Limited
869,PGIL,Pearl Global Industries Limited
870,MANORAMA,Manorama Industries Limited
871,SOMANYCERA,Somany Ceramics Limited
872,KINGFA,Kingfa Science & Technology (India) Limited
873,FINOPB,Fino Payments Bank Limited
874,UNIPARTS,Uniparts India Limited
875,INDOSTAR,IndoStar Capital Finance Limited
876,DIVGIITTS,Divgi Torqtransfer Systems Limited
877,HINDOILEXP,Hindustan Oil Exploration Company Limited
878,SEPC,SEPC Limited
879,INDIAGLYCO,India Glycols Limited
880,IPL,India Pesticides Limited
881,GENESYS,Genesys International Corporation Limited
882,SANGHIIND,Sanghi Industries Limited
883,BSHSL,Bombay Super Hybrid Seeds Limited
884,SATIN,Satin Creditcare Network Limited
885,AXISCADES,AXISCADES Technologies Limited
886,ARTEMISMED,Artemis Medicare Services Limited
887,SASKEN,Sasken Technologies Limited
888,EIHAHOTELS,EIH Associated Hotels Limited
889,DHANI,Dhani Services Limited
890,PRECWIRE,Precision Wires India Limited
891,VIDHIING,Vidhi Specialty Food Ingredients Limited
892,APCOTEXIND,Apcotex Industries Limited
893,HUHTAMAKI,Huhtamaki India Limited
894,LUMAXIND,Lumax Industries Limited
895,GOCLCORP,GOCL Corporation Limited
896,WENDT,Wendt (India) Limited
897,DEN,Den Networks Limited
898,YATRA,Yatra Online Limited
899,HONDAPOWER,Honda India Power Products Limited
900,KCP,KCP Limited
901,EMSLIMITED,EMS Limited
902,JAGRAN,Jagran Prakashan Limited
903,SANGAMIND,Sangam (India) Limited
904,BEPL,Bhansali Engineering Polymers Limited
905,CAPACITE,Capacit'e Infraprojects Limited
906,NPST,Network People Services Technologies Limited
907,SUVEN,Suven Life Sciences Limited
908,MANINDS,Man Industries (India) Limited
909,DIAMONDYD,Prataap Snacks Limited
910,CENTUM,Centum Electronics Limited
911,VENKEYS,Venky's (India) Limited
912,IKIO,IKIO Lighting Limited
913,TCNSBRANDS,TCNS Clothing Co. Limited
914,OPTIEMUS,Optiemus Infracom Limited
915,MOREPENLAB,Morepen Laboratories Limited
916,MUKANDLTD,Mukand Limited
917,UDS,Updater Services Limited
918,ALEMBICLTD,Alembic Limited
919,RAMASTEEL,Rama Steel Tubes Limited
920,IOLCP,IOL Chemicals and Pharmaceuticals Limited
921,MBAPL,Madhya Bharat Agro Products Limited
922,MMFL,MM Forgings Limited
923,VAKRANGEE,Vakrangee Limited
924,TARSONS,Tarsons Products Limited
925,ASTEC,Astec LifeSciences Limited
926,JSLL,Jeena Sikho Lifecare Limited
927,VISHNU,Vishnu Chemicals Limited
928,TTKHLTCARE,TTK Healthcare Limited
929,MTNL,Mahanagar Telephone Nigam Limited
930,RPTECH,Rashi Peripherals Limited
931,RPSGVENT,RPSG VENTURES LIMITED
932,ORIENTHOT,Oriental Hotels Limited
933,GTLINFRA,GTL Infrastructure Limited
934,WEBELSOLAR,Websol Energy System Limited
935,JASH,Jash Engineering Limited
936,UGROCAP,Ugro Capital Limited
937,SDBL,Som Distilleries & Breweries Limited
938,HPL,HPL Electric & Power Limited
939,TCPLPACK,TCPL Packaging Limited
940,ADFFOODS,ADF Foods Limited
941,HMT,HMT Limited
942,MOL,Meghmani Organics Limited
943,MUFIN,Mufin Green Finance Limited
944,THEMISMED,Themis Medicare Limited
945,PANAMAPET,Panama Petrochem Limited
946,MANGLMCEM,Mangalam Cement Limited
947,SIGNPOST,Signpost India Limited
948,HITECH,Hi-Tech Pipes Limited
949,MAYURUNIQ,Mayur Uniquoters Ltd
950,SIYSIL,Siyaram Silk Mills Limited
951,JINDALPOLY,Jindal Poly Films Limited
952,KRSNAA,Krsnaa Diagnostics Limited
953,DEEPINDS,Deep Industries Limited
954,PNBGILTS,PNB Gilts Limited
955,HIL,HIL Limited
956,RICOAUTO,Rico Auto Industries Limited
957,BFINVEST,BF Investment Limited
958,GANDHAR,Gandhar Oil Refinery (India) Limited
959,IFGLEXPOR,IFGL Refractories Limited
960,BARBEQUE,Barbeque Nation Hospitality Limited
961,ANDHRAPAP,ANDHRA PAPER LIMITED
962,IRMENERGY,IRM Energy Limited
963,RIIL,Reliance Industrial Infrastructure Limited
964,SHRIRAMPPS,Shriram Properties Limited
965,GLOBUSSPR,Globus Spirits Limited
966,DREDGECORP,Dredging Corporation of India Limited
967,RUPA,Rupa & Company Limited
968,SJS,S.J.S. Enterprises Limited
969,PARACABLES,Paramount Communications Limited
970,EXPLEOSOL,Expleo Solutions Limited
971,PRECAM,Precision Camshafts Limited
972,BHARATWIRE,Bharat Wire Ropes Limited
973,GTPL,GTPL Hathway Limited
974,VPRPL,Vishnu Prakash R Punglia Limited
975,ADORWELD,Ador Welding Limited
976,DPABHUSHAN,D. P. Abhushan Limited
977,FOSECOIND,Foseco India Limited
978,SCILAL,Shipping Corporation of India Land and Assets Limited
979,SESHAPAPER,Seshasayee Paper and Boards Limited
980,JINDRILL,Jindal Drilling And Industries Limited
981,YASHO,Yasho Industries Limited
982,GREENPOWER,Orient Green Power Company Limited
983,NITINSPIN,Nitin Spinners Limited
984,GOLDIAM,Goldiam International Limited
985,PIXTRANS,Pix Transmissions Limited
986,SIGACHI,Sigachi Industries Limited
987,ARMANFIN,Arman Financial Services Limited
988,MONARCH,Monarch Networth Capital Limited
989,AMRUTANJAN,Amrutanjan Health Care Limited
990,FMGOETZE,Federal-Mogul Goetze (India) Limited.
991,PENIND,Pennar Industries Limited
992,GEPIL,GE Power India Limited
993,PVSL,Popular Vehicles and Services Limited
994,JUBLINDS,Jubilant Industries Limited
995,63MOONS,63 moons technologies limited
996,CANTABIL,Cantabil Retail India Limited
997,RAMCOIND,Ramco Industries Limited
998,JYOTISTRUC,Jyoti Structures Limited
999,VSSL,Vardhman Special Steels Limited
1000,HERCULES,Hercules Hoists Limited
1001,NSIL,Nalwa Sons Investments Limited
1002,HLVLTD,HLV LIMITED
1003,SURYODAY,Suryoday Small Finance Bank Limited
1004,TNPL,Tamil Nadu Newsprint & Papers Limited
1005,SUBEXLTD,Subex Limited
1006,RISHABH,Rishabh Instruments Limited
1007,SERVOTECH,Servotech Power Systems Limited
1008,BHAGCHEM,Bhagiradha Chemicals & Industries Limited
1009,ATFL,Agro Tech Foods Limited
1010,OMAXE,Omaxe Limited
1011,EVERESTIND,Everest Industries Limited
1012,PREMEXPLN,Premier Explosives Limited
1013,GNA,GNA Axles Limited
1014,GOKULAGRO,Gokul Agro Resources Limited
1015,TALBROAUTO,Talbros Automotive Components Limited
1016,DCMSRIND,DCM Shriram Industries Limited
1017,NELCO,NELCO Limited
1018,KICL,Kalyani Investment Company Limited
1019,MOTISONS,Motisons Jewellers Limited
1020,5PAISA,5Paisa Capital Limited
1021,KIRIINDUS,Kiri Industries Limited
1022,CAPITALSFB,Capital Small Finance Bank Limited
1023,INDRAMEDCO,Indraprastha Medical Corporation Limited
1024,AEROFLEX,Aeroflex Industries Limited
1025,SIRCA,Sirca Paints India Limited
1026,SHANKARA,Shankara Building Products Limited
1027,FAIRCHEMOR,Fairchem Organics Limited
1028,BLKASHYAP,B. L. Kashyap and Sons Limited
1029,TFCILTD,Tourism Finance Corporation of India Limited
1030,SADHNANIQ,Sadhana Nitrochem Limited
1031,INDNIPPON,India Nippon Electricals Limited
1032,GVKPIL,GVK Power & Infrastructure Limited
1033,RANEHOLDIN,Rane Holdings Limited
1034,GEOJITFSL,Geojit Financial Services Limited
1035,DCW,DCW Limited
1036,SBGLP,Suratwwala Business Group Limited
1037,BCLIND,Bcl Industries Limited
1038,SMSPHARMA,SMS Pharmaceuticals Limited
1039,DPSCLTD,DPSC Limited
1040,CAMLINFINE,Camlin Fine Sciences Limited
1041,CONTROLPR,Control Print Limited
1042,REFEX,Refex Industries Limited
1043,KRISHANA,Krishana Phoschem Limited
1044,EKC,Everest Kanto Cylinder Limited
1045,WHEELS,Wheels India Limited
1046,JITFINFRA,JITF Infralogistics Limited
1047,V2RETAIL,V2 Retail Limited
1048,SALZERELEC,Salzer Electronics Limited
1049,UNIVCABLES,Universal Cables Limited
1050,SPAL,S. P. Apparels Limited
1051,EPACK,EPACK Durable Limited
1052,SWELECTES,Swelect Energy Systems Limited
1053,GPTHEALTH,GPT Healthcare Limited
1054,HITECHGEAR,The Hi-Tech Gears Limited
1055,INSECTICID,Insecticides (India) Limited
1056,PENINLAND,Peninsula Land Limited
1057,SHREDIGCEM,Shree Digvijay Cement Co.Ltd
1058,SPIC,Southern Petrochemicals Industries Corporation  Limited
1059,NIITLTD,NIIT Limited
1060,BIGBLOC,Bigbloc Construction Limited
1061,ORIANA,Oriana Power Limited
1062,SPCENET,Spacenet Enterprises India Limited
1063,SHALPAINTS,Shalimar Paints Limited
1064,KAMDHENU,Kamdhenu Limited
1065,STOVEKRAFT,Stove Kraft Limited
1066,RKSWAMY,R K Swamy Limited
1067,NAVKARCORP,Navkar Corporation Limited
1068,BUTTERFLY,Butterfly Gandhimathi Appliances Limited
1069,DHAMPURSUG,Dhampur Sugar Mills Limited
1070,NDTV,New Delhi Television Limited
1071,ARIHANTSUP,Arihant Superstructures Limited
1072,VASCONEQ,Vascon Engineers Limited
1073,KUANTUM,Kuantum Papers Limited
1074,APTECHT,Aptech Limited
1075,INDIANHUME,Indian Hume Pipe Company Limited
1076,ROSSELLIND,Rossell India Limited
1077,AHL,Abans Holdings Limited
1078,SOLARA,Solara Active Pharma Sciences Limited
1079,SUMMITSEC,Summit Securities Limited
1080,ALICON,Alicon Castalloy Limited
1081,KSOLVES,Ksolves India Limited
1082,IGPL,IG Petrochemicals Limited
1083,STEELCAS,Steelcast Limited
1084,POKARNA,Pokarna Limited
1085,ATL,Allcargo Terminals Limited
1086,ATULAUTO,Atul Auto Limited
1087,GANESHBE,Ganesh Benzoplast Limited
1088,COSMOFIRST,COSMO FIRST LIMITED
1089,AWHCL,Antony Waste Handling Cell Limited
1090,DWARKESH,Dwarikesh Sugar Industries Limited
1091,HARIOMPIPE,Hariom Pipe Industries Limited
1092,SMCGLOBAL,SMC Global Securities Limited
1093,MADRASFERT,Madras Fertilizers Limited
1094,DSSL,Dynacons Systems & Solutions Limited
1095,STEELXIND,STEEL EXCHANGE INDIA LIMITED
1096,MONTECARLO,Monte Carlo Fashions Limited
1097,E2E,E2E Networks Limited
1098,VERTOZ,Vertoz Advertising Limited
1099,GIRIRAJ,Giriraj Civil Developers Limited
1100,NGLFINE,NGL Fine-Chem Limited
1101,IGARASHI,Igarashi Motors India Limited
1102,JAYBARMARU,Jay Bharat Maruti Limited
1103,AVTNPL,AVT Natural Products Limited
1104,SKYGOLD,Sky Gold Limited
1105,TVTODAY,TV Today Network Limited
1106,XCHANGING,Xchanging Solutions Limited
1107,ANDHRSUGAR,The Andhra Sugars Limited
1108,ACLGATI,Allcargo Gati Limited
1109,KOPRAN,Kopran Limited
1110,ENIL,Entertainment Network (India) Limited
1111,VERANDA,Veranda Learning Solutions Limited
1112,MVGJL,Manoj Vaibhav Gems N Jewellers Limited
1113,OMINFRAL,OM INFRA LIMITED
1114,ZOTA,Zota Health Care LImited
1115,SNOWMAN,Snowman Logistics Limited
1116,RAJRILTD,Raj Rayon Industries Limited
1117,PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
1118,KITEX,Kitex Garments Limited
1119,TEXINFRA,Texmaco Infrastructure & Holdings Limited
1120,IMPAL,India Motor Parts and Accessories Limited
1121,HIMATSEIDE,Himatsingka Seide Limited
1122,DOLATALGO,Dolat Algotech Limited
1123,MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
1124,AGARIND,Agarwal Industrial Corporation Limited
1125,REPRO,Repro India Limited
1126,DOLPHIN,Dolphin Offshore Enterprises (India) Limited
1127,UTTAMSUGAR,Uttam Sugar Mills Limited
1128,CENTRUM,Centrum Capital Limited
1129,HESTERBIO,Hester Biosciences Limited
1130,BETA,Beta Drugs Limited
1131,MARINE,Marine Electricals (India) Limited
1132,BLISSGVS,Bliss GVS Pharma Limited
1133,MSPL,MSP Steel & Power Limited
1134,LINCOLN,Lincoln Pharmaceuticals Limited
1135,SAURASHCEM,Saurashtra Cement Limited
1136,MATRIMONY,Matrimony.Com Limited
1137,HARDWYN,Hardwyn India Limited
1138,GMBREW,GM Breweries Limited
1139,SURAJEST,Suraj Estate Developers Limited
1140,SICALLOG,Sical Logistics Limited
1141,TREL,Transindia Real Estate Limited
1142,PAKKA,PAKKA LIMITED
1143,HERANBA,Heranba Industries Limited
1144,RAMRAT,Ram Ratna Wires Limited
1145,DVL,Dhunseri Ventures Limited
1146,NACLIND,NACL Industries Limited
1147,RML,Rane (Madras) Limited
1148,NELCAST,Nelcast Limited
1149,KOKUYOCMLN,Kokuyo Camlin Limited
1150,ALLSEC,Allsec Technologies Limited
1151,MACPOWER,Macpower CNC Machines Limited
